2θ (°),I (count),σ (count),,
5.975,450,21.2,,
5.990,473,21.7,,
6.005,489,22.1,,
6.020,474,21.8,,
6.035,449,21.2,,
6.050,468,21.6,,
6.065,469,21.7,,
6.080,478,21.9,,
6.095,466,21.6,,
6.110,431,20.8,,
6.125,448,21.2,,
6.140,482,22.0,,
6.155,455,21.3,,
6.170,484,22.0,,
6.185,469,21.7,,
6.200,464,21.5,,
6.215,475,21.8,,
6.230,441,21.0,,
6.245,494,22.2,,
6.260,489,22.1,,
6.275,446,21.1,,
6.290,459,21.4,,
6.305,487,22.1,,
6.320,473,21.7,,
6.335,509,22.6,,
6.350,499,22.3,,
6.365,470,21.7,,
6.380,459,21.4,,
6.395,466,21.6,,
6.410,460,21.4,,
6.425,449,21.2,,
6.440,459,21.4,,
6.455,472,21.7,,
6.470,471,21.7,,
6.485,453,21.3,,
6.500,467,21.6,,
6.515,461,21.5,,
6.530,455,21.3,,
6.545,440,21.0,,
6.560,473,21.7,,
6.575,526,22.9,,
6.590,505,22.5,,
6.605,451,21.2,,
6.620,461,21.5,,
6.635,480,21.9,,
6.650,502,22.4,,
6.665,474,21.8,,
6.680,471,21.7,,
6.695,457,21.4,,
6.710,442,21.0,,
6.725,481,21.9,,
6.740,440,21.0,,
6.755,456,21.4,,
6.770,452,21.3,,
6.785,458,21.4,,
6.800,444,21.1,,
6.815,474,21.8,,
6.830,493,22.2,,
6.845,461,21.5,,
6.860,434,20.8,,
6.875,469,21.7,,
6.890,481,21.9,,
6.905,436,20.9,,
6.920,425,20.6,,
6.935,468,21.6,,
6.950,466,21.6,,
6.965,460,21.4,,
6.980,436,20.9,,
6.995,449,21.2,,
7.010,474,21.8,,
7.025,468,21.6,,
7.040,456,21.4,,
7.055,467,21.6,,
7.070,429,20.7,,
7.085,469,21.7,,
7.100,479,21.9,,
7.115,486,22.0,,
7.130,480,21.9,,
7.145,478,21.9,,
7.160,467,21.6,,
7.175,467,21.6,,
7.190,476,21.8,,
7.205,473,21.7,,
7.220,464,21.5,,
7.235,448,21.2,,
7.250,446,21.1,,
7.265,422,20.5,,
7.280,447,21.1,,
7.295,468,21.6,,
7.310,420,20.5,,
7.325,433,20.8,,
7.340,482,22.0,,
7.355,483,22.0,,
7.370,475,21.8,,
7.385,464,21.5,,
7.400,455,21.3,,
7.415,483,22.0,,
7.430,494,22.2,,
7.445,467,21.6,,
7.460,437,20.9,,
7.475,477,21.8,,
7.490,512,22.6,,
7.505,449,21.2,,
7.520,475,21.8,,
7.535,492,22.2,,
7.550,456,21.4,,
7.565,444,21.1,,
7.580,476,21.8,,
7.595,467,21.6,,
7.610,469,21.7,,
7.625,491,22.2,,
7.640,455,21.3,,
7.655,483,22.0,,
7.670,504,22.4,,
7.685,473,21.7,,
7.700,456,21.4,,
7.715,475,21.8,,
7.730,479,21.9,,
7.745,454,21.3,,
7.760,453,21.3,,
7.775,463,21.5,,
7.790,465,21.6,,
7.805,469,21.7,,
7.820,473,21.7,,
7.835,480,21.9,,
7.850,462,21.5,,
7.865,463,21.5,,
7.880,451,21.2,,
7.895,476,21.8,,
7.910,466,21.6,,
7.925,452,21.3,,
7.940,439,21.0,,
7.955,419,20.5,,
7.970,467,21.6,,
7.985,471,21.7,,
8.000,456,21.4,,
8.015,444,21.1,,
8.030,471,21.7,,
8.045,494,22.2,,
8.060,461,21.5,,
8.075,451,21.2,,
8.090,442,21.0,,
8.105,455,21.3,,
8.120,460,21.4,,
8.135,455,21.3,,
8.150,509,22.6,,
8.165,503,22.4,,
8.180,451,21.2,,
8.195,447,21.1,,
8.210,448,21.2,,
8.225,489,22.1,,
8.240,460,21.4,,
8.255,462,21.5,,
8.270,439,21.0,,
8.285,444,21.1,,
8.300,436,20.9,,
8.315,455,21.3,,
8.330,457,21.4,,
8.345,455,21.3,,
8.360,464,21.5,,
8.375,433,20.8,,
8.390,429,20.7,,
8.405,434,20.8,,
8.420,450,21.2,,
8.435,464,21.5,,
8.450,481,21.9,,
8.465,466,21.6,,
8.480,529,23.0,,
8.495,492,22.2,,
8.510,480,21.9,,
8.525,460,21.4,,
8.540,458,21.4,,
8.555,472,21.7,,
8.570,456,21.4,,
8.585,467,21.6,,
8.600,465,21.6,,
8.615,511,22.6,,
8.630,510,22.6,,
8.645,492,22.2,,
8.660,478,21.9,,
8.675,482,22.0,,
8.690,463,21.5,,
8.705,526,22.9,,
8.720,571,23.9,,
8.735,575,24.0,,
8.750,580,24.1,,
8.765,596,24.4,,
8.780,645,25.4,,
8.795,690,26.3,,
8.810,755,27.5,,
8.825,779,27.9,,
8.840,755,27.5,,
8.855,665,25.8,,
8.870,533,23.1,,
8.885,471,21.7,,
8.900,462,21.5,,
8.915,452,21.3,,
8.930,449,21.2,,
8.945,457,21.4,,
8.960,445,21.1,,
8.975,447,21.1,,
8.990,428,20.7,,
9.005,447,21.1,,
9.020,479,21.9,,
9.035,449,21.2,,
9.050,451,21.2,,
9.065,481,21.9,,
9.080,480,21.9,,
9.095,458,21.4,,
9.110,452,21.3,,
9.125,438,20.9,,
9.140,446,21.1,,
9.155,423,20.6,,
9.170,464,21.5,,
9.185,467,21.6,,
9.200,462,21.5,,
9.215,422,20.5,,
9.230,431,20.8,,
9.245,467,21.6,,
9.260,451,21.2,,
9.275,407,20.2,,
9.290,454,21.3,,
9.305,450,21.2,,
9.320,446,21.1,,
9.335,476,21.8,,
9.350,434,20.8,,
9.365,449,21.2,,
9.380,432,20.8,,
9.395,451,21.2,,
9.410,464,21.5,,
9.425,443,21.0,,
9.440,439,21.0,,
9.455,451,21.2,,
9.470,459,21.4,,
9.485,434,20.8,,
9.500,426,20.6,,
9.515,434,20.8,,
9.530,452,21.3,,
9.545,435,20.9,,
9.560,412,20.3,,
9.575,420,20.5,,
9.590,424,20.6,,
9.605,421,20.5,,
9.620,414,20.3,,
9.635,434,20.8,,
9.650,424,20.6,,
9.665,416,20.4,,
9.680,413,20.3,,
9.695,398,19.9,,
9.710,396,19.9,,
9.725,424,20.6,,
9.740,418,20.4,,
9.755,451,21.2,,
9.770,450,21.2,,
9.785,400,20.0,,
9.800,421,20.5,,
9.815,431,20.8,,
9.830,429,20.7,,
9.845,406,20.1,,
9.860,413,20.3,,
9.875,424,20.6,,
9.890,440,21.0,,
9.905,421,20.5,,
9.920,425,20.6,,
9.935,428,20.7,,
9.950,474,21.8,,
9.965,445,21.1,,
9.980,420,20.5,,
9.995,439,21.0,,
10.010,418,20.4,,
10.025,421,20.5,,
10.040,410,20.2,,
10.055,423,20.6,,
10.070,437,20.9,,
10.085,433,20.8,,
10.100,441,21.0,,
10.115,444,21.1,,
10.130,428,20.7,,
10.145,431,20.8,,
10.160,438,20.9,,
10.175,397,19.9,,
10.190,419,20.5,,
10.205,454,21.3,,
10.220,406,20.1,,
10.235,420,20.5,,
10.250,421,20.5,,
10.265,436,20.9,,
10.280,425,20.6,,
10.295,433,20.8,,
10.310,410,20.2,,
10.325,402,20.0,,
10.340,397,19.9,,
10.355,427,20.7,,
10.370,413,20.3,,
10.385,424,20.6,,
10.400,406,20.1,,
10.415,430,20.7,,
10.430,423,20.6,,
10.445,415,20.4,,
10.460,446,21.1,,
10.475,419,20.5,,
10.490,424,20.6,,
10.505,419,20.5,,
10.520,416,20.4,,
10.535,416,20.4,,
10.550,423,20.6,,
10.565,407,20.2,,
10.580,405,20.1,,
10.595,414,20.3,,
10.610,430,20.7,,
10.625,437,20.9,,
10.640,416,20.4,,
10.655,408,20.2,,
10.670,430,20.7,,
10.685,426,20.6,,
10.700,396,19.9,,
10.715,400,20.0,,
10.730,416,20.4,,
10.745,431,20.8,,
10.760,427,20.7,,
10.775,420,20.5,,
10.790,430,20.7,,
10.805,429,20.7,,
10.820,412,20.3,,
10.835,426,20.6,,
10.850,418,20.4,,
10.865,420,20.5,,
10.880,397,19.9,,
10.895,393,19.8,,
10.910,401,20.0,,
10.925,435,20.9,,
10.940,422,20.5,,
10.955,432,20.8,,
10.970,449,21.2,,
10.985,398,19.9,,
11.000,412,20.3,,
11.015,412,20.3,,
11.030,385,19.6,,
11.045,392,19.8,,
11.060,407,20.2,,
11.075,399,20.0,,
11.090,416,20.4,,
11.105,410,20.2,,
11.120,405,20.1,,
11.135,391,19.8,,
11.150,391,19.8,,
11.165,434,20.8,,
11.180,411,20.3,,
11.195,390,19.7,,
11.210,388,19.7,,
11.225,423,20.6,,
11.240,407,20.2,,
11.255,408,20.2,,
11.270,408,20.2,,
11.285,421,20.5,,
11.300,385,19.6,,
11.315,426,20.6,,
11.330,411,20.3,,
11.345,397,19.9,,
11.360,399,20.0,,
11.375,427,20.7,,
11.390,429,20.7,,
11.405,437,20.9,,
11.420,408,20.2,,
11.435,389,19.7,,
11.450,412,20.3,,
11.465,399,20.0,,
11.480,397,19.9,,
11.495,404,20.1,,
11.510,378,19.4,,
11.525,413,20.3,,
11.540,419,20.5,,
11.555,379,19.5,,
11.570,407,20.2,,
11.585,404,20.1,,
11.600,391,19.8,,
11.615,383,19.6,,
11.630,409,20.2,,
